action_verb,content,time,recipe_code,prep_code
prepare,"Préparer 3 assiettes : la première remplie de la farine, la 2ème des oeufs battus et la 3ème de la chapelure.",2,1,1
mix,"Saler et poivrer les filets de poissons et trempez-les dans chacune des assiettes, en commençant par la farine, puis les oeufs et la chapelure.",2,1,2
cook,Faites revenir les filets de chaque coté pendant 5 à 8minutes dans une poêle huilée.,5,1,3
serve,Servez en arrosant d'un filet de citron.,1,1,4
pre_heat,Préchauffez le four à 180°C.,1,3,5
mix,"Dans un saladier, travaillez à la main les filets de poisson en faisant pénétrer dans la chair le cube de bouillon de légumes émietté, puis l’ail semoule.",2,3,6
pre_cook,Disposez les filets sur le papier de cuisson préalablement posé sur une plaque allant au four. Versez sur chaque morceau de poisson un filet d’huile d’olive.,1,3,7
cook,Enfournez et laissez cuire pendant 9 minutes à chaleur tournante et 1 minute au grill.,10,3,8
serve,"Dressez, parsemez de feuilles de basilic.",1,3,9
pre_heat,Préchauffer votre four à 150°C.,1,4,10
cut,Coupez les blancs de poulet en dés d’environ 3 cm de côté.,2,4,11
mix,"Mettez les blancs de poulet dans un saladier. Ajoutez les 2 yaourts, le zeste du citron vert, salez et poivrez. Mélangez.",2,4,12
pre_cook,Étalez les dés de poulet sur une plaque de cuisson anti adhésive ou dans un plat mais il ne faut pas que le poulet soit sur plusieurs épaisseurs.,1,4,13
cook,Enfournez pour 15 minutes. Vérifiez la cuisson du poulet en coupant un dé en deux.,15,4,14
serve,"A la sortie du four, pressez le jus du citron vert sur le poulet, salez et poivrez à nouveau.",1,4,15
pre_heat,Préchauffez votre four à 200°C.,1,5,16
cut,Pelez les carottes et coupez-les en bâtonnets. Hâcher le persil.,3,5,17
mix,"Mélangez dans un bol l'huile d'olive, le miel et le vinaigre de cidre.",2,5,18
pre_cook,"Placez les carottes sur une plaque allant au four. Arrosez-les du mélange, salez et poivrez. Puis mélangez les carottes pour bien les enrober et étalez-les sur une couche uniforme.",3,5,19
cook,Enfournez 35 minutes.,35,5,20
serve,"Sortez les carottes du four, mélangez-les et parsemez-les de persil et de thym.",1,5,21
pre_heat,Préchauffez le four à 180°C.,1,6,22
prepare,Etalez la pâte feuilletée dans un moule à tarte.,1,6,23
cut,Découpez le saumon en dés. Ciselez l'aneth.,3,6,24
mix,"Dans un grand récipient, écrasez le chèvre à l'aide d'une fourchette. Incorporez progressivement les oeufs. Ajoutez la crème, les dés de saumon, l'aneth, le sel et le poivre. Mélangez le tout.",4,6,25
pre_cook,Versez la préparation sur la pâte feuilletée.,1,6,26
cook,Enfournez durant 40 minutes.,40,6,27
serve,Servez chaud ou tiède.,1,6,28
pre_heat,Préchauffez votre four à 180°C.,1,2,29
cut,"Épluchez et coupez l’oignon en fines rondelles, coupez la base de la salade et découpez-la en feuilles. Coupez vos pains à hamburger en 2 et coupez la tomate en rondelles.",1,2,30
pre_cook,"Dans une pôele, faites chauffer un filet d’huile d’olive, faites légèrement dorer les rondelles d’oignon dans la poêle chaude puis débarrassez-les. Dès que votre four est chaud, laissez dorer les buns pendant 10 minutes.",10,2,31
cook,"Dans la poêle ayant servi à dorer les rondelles d’oignon, faites cuire les steaks selon vos goûts (saignant, à point ou bien cuit). En fin de cuisson, déposez une tranche de cheddar sur chacun des steaks et poursuivez la cuisson 2 minutes pour que le cheddar commence légèrement à fondre.",4,2,32
serve,"Mettez une c. à café de mayonnaise et/ou de ketchup sur les buns. Déposez ensuite une feuille de salade verte, une rondelle de tomate puis quelques rondelles d’oignon. Ajoutez les steaks hachés au fromage puis refermez.",1,2,33
pre_heat,Préchauffez le four à 200°C.,1,7,34
prepare,Faites cuire les pâtes en suivant les indications sur le paquet.,10,7,35
cut,Nettoyez et coupez les champignons en lamelles.,1,7,36
mix,"Faites revenir les champignons à la poêle avec un peu de beurre pendant quelques minutes. Réservez. Beurrez un moule à gratin. Déposez-y les pâtes égouttées, les champignons et les lardons. Recouvrez le tout avec la crème. Mélangez doucement à l'aide d'une spatule pour bien répartir la crème.",6,7,37
pre_cook,Coupez le reblochon en tranches et disposez-les sur la préparation.,1,7,38
cook,Enfournez le gratin de pâtes pendant 20 minutes,20,7,39
pre_heat,Préchauffez le four à 170°C.,1,8,40
prepare,Lavez les pommes de terres puis épluchez-les et coupez-les en rondelles.,15,8,41
mix,"Mettez le fromage frais dans un petit saladier, ajoutez le lait et mélangez. Ajoutez le curry, la muscade, du sel et du poivre puis mélangez.",2,8,42
pre_cook,Beurrez le plat à gratin et disposez les rondelles de pommes de terre. Versez la préparation au fromage frais par dessus.,2,8,43
cook,Faites cuire au four 25 minutes. Saupoudrez de parmesan et prolongez la cuisson 30 minutes. Dégustez le gratin dauphinois allégé bien chaud.,55,8,44
